# ----------------------------------------,,,,,"https://analytics.google.com/analytics/web/#/report/conversions-ecommerce-transaction/a203531w84011461p149197394/_u.date00=20181001&_u.date01=20181031&explorer-table.secSegmentId=analytics.medium&explorer-table.plotKeys=%5B%5D&explorer-table.rowCount=5000&explorer-table.advFilter=%5B%5B0,%22analytics.medium%22,%22PT%22,%22cpc%22,0%5D,%5B1,%22analytics.transactionRevenue%22,%22LT%22,%22100%22,0%5D%5D"
# Master View,,,,,
# Transactions,,,,,
# 20181001-20181031,,,,,
# ----------------------------------------,,,,,
,,,,,
Transaction ID,Medium,Revenue,Tax,Shipping,Quantity
ICC8702133170,cpc,£60.00,£15.00,£0.00,2
ICC8704344947,cpc,£60.00,£15.00,£0.00,2
ICC9195834203,cpc,£60.00,£15.00,£0.00,2
ICC9196860430,cpc,£60.00,£15.00,£0.00,2
ICC9197604738,cpc,£60.00,£15.00,£0.00,1
ICC9205856586,cpc,£60.00,£15.00,£0.00,2
ICC9693989678,cpc,£60.00,£0.00,£0.00,2
ICC9706067732,cpc,£60.00,£0.00,£0.00,1
ICC6343899366,cpc,£58.25,£0.00,£0.00,1
ICC9208701652,cpc,£51.55,£0.00,£0.00,1
ICC6845671401,cpc,£51.00,£12.75,£0.00,1
ICC9698256404,cpc,£51.00,£12.75,£0.00,1
00395820R51035150,cpc,£50.00,£12.50,£0.00,1
00542004UN647680W,cpc,£50.00,£12.50,£0.00,1
00771881MF609003M,cpc,£50.00,£12.50,£0.00,1
00P65933KC721235B,cpc,£50.00,£12.50,£0.00,1
01083802R9039784G,cpc,£50.00,£0.00,£0.00,1
01891959E4653460U,cpc,£50.00,£0.00,£0.00,1
01R63674FB105490G,cpc,£50.00,£12.50,£0.00,1
02657667DM080590W,cpc,£50.00,£12.50,£0.00,1
02B25255EK359943R,cpc,£50.00,£12.50,£0.00,1
038435912T400012U,cpc,£50.00,£12.50,£0.00,1
03953037N6253054W,cpc,£50.00,£0.00,£0.00,1
03C04739F7455421P,cpc,£50.00,£12.50,£0.00,1
