,Transaction ID,Medium,Revenue
166,0VN47884TR757345U,cpc,50.0
167,0VS62169F6846024P,cpc,50.0
168,0XF35248G4251362U,cpc,50.0
169,0Y4434313F546701D,cpc,50.0
170,0YG269980F165444A,cpc,50.0
171,10M62770A7956425H,cpc,50.0
172,12820607YX064971S,cpc,50.0
173,12V866706U982162B,cpc,50.0
174,137034385P920294R,cpc,50.0
175,13728793XE5306223,cpc,50.0
176,13E40702MD7451624,cpc,50.0
177,13W77207WR5525919,cpc,50.0
178,14458284FM399422K,cpc,50.0
179,14787170CN264562B,cpc,50.0
180,14X187338X327080D,cpc,50.0
181,16N57093XK819602A,cpc,50.0
182,17630813UA143080D,cpc,50.0
183,18B12106VD846045R,cpc,50.0
184,19Y45125R91572153,cpc,50.0
185,1A005914TM450870N,cpc,50.0
186,1AX093940M706682G,cpc,50.0
187,1B889052UW615415P,cpc,50.0
188,1BC7945410413832U,cpc,50.0
189,1BH5309891868452B,cpc,50.0
190,1C5623202B5181453,cpc,50.0
191,1CX03501PX610393Y,cpc,50.0
192,1D481454RD587470M,cpc,50.0
193,1F567338GJ057710A,cpc,50.0
194,1GG9795104644640B,cpc,50.0
195,1HL35363SX806382X,cpc,50.0
196,1JG15331MS860711M,cpc,50.0
197,1KM752021E191894D,cpc,50.0
198,1KS574286W215211T,cpc,50.0
199,1LB78330RY755462B,cpc,50.0
200,1MC91670C3365170N,cpc,50.0
201,1ND00519S9148963L,cpc,50.0
202,1P074058TS6853828,cpc,50.0
203,1P757043E6714011G,cpc,50.0
204,1PG54806YT868205P,cpc,50.0
205,1S564619FU051234W,cpc,50.0
206,1SG724353L764112C,cpc,50.0
207,1SJ16711CJ207640G,cpc,50.0
208,1SN7694229291211G,cpc,50.0
209,1T703181AC247313F,cpc,50.0
210,1TE086481F7513600,cpc,50.0
211,1TG66043R7875013N,cpc,50.0
212,1TM80254YN852553M,cpc,50.0
213,1TN34371ES439621M,cpc,50.0
214,1VK06613W4220393W,cpc,50.0
215,1WN93960TX427844R,cpc,50.0
216,1WT17432L1349900D,cpc,50.0
217,1XP00830EY4665813,cpc,50.0
218,1XS17212TH3702711,cpc,50.0
219,1XW37545VG545415V,cpc,50.0
220,1Y277248NJ708523C,cpc,50.0
221,1YB57687K6782443K,cpc,50.0
222,21B60581DS8261211,cpc,50.0
223,22E51666CP270482T,cpc,50.0
224,22J133207H257792B,cpc,50.0
225,22V0880626812810R,cpc,50.0
226,23862266NK437162N,cpc,50.0
227,23B5689512542012E,cpc,50.0
228,24633789JE720442F,cpc,50.0
229,24F55389DA9923334,cpc,50.0
230,25L97950X2559520J,cpc,50.0
231,2682361525055442N,cpc,50.0
232,2713094436820413G,cpc,50.0
233,27437163X5348254R,cpc,50.0
234,27D59891DW842622K,cpc,50.0
235,28J77977FH634233D,cpc,50.0
236,29B16853K7581901X,cpc,50.0
237,29T3233518669650R,cpc,50.0
238,2AA200056R3821949,cpc,50.0
239,2AJ89702GR453013X,cpc,50.0
240,2B927226NM615134U,cpc,50.0
241,2BN09611AD217745C,cpc,50.0
242,2C634901VB447733Y,cpc,50.0
243,2C738162R9569793R,cpc,50.0
244,2CM25430EP0045024,cpc,50.0
245,2CX96981560590129,cpc,50.0
246,2DV18194WR6502330,cpc,50.0
247,2EM0404399147244X,cpc,50.0
248,2EU83366AM9122936,cpc,50.0
249,2EX896964K621492C,cpc,50.0
250,2G707469BA514234W,cpc,50.0
251,2GF47157VT424972G,cpc,50.0
252,2GW88388YM072841V,cpc,50.0
253,2GX15797Y54367159,cpc,50.0
254,2H886752SK537053B,cpc,50.0
255,2HE07672988104147,cpc,50.0
256,2HF18530P0179910P,cpc,50.0
257,2KC28008TG2716508,cpc,50.0
258,2KF42019NF123374X,cpc,50.0
259,2LB40938Y1215415S,cpc,50.0
260,2N743966L73823549,cpc,50.0
261,2NB17086YY1429150,cpc,50.0
262,2NJ47770Y3570254F,cpc,50.0
263,2R8730434H241582U,cpc,50.0
264,2RF69580LJ8429439,cpc,50.0
265,2RY18783A3571674D,cpc,50.0
266,2TA24049YN062323Y,cpc,50.0
267,2TL43890HW327150L,cpc,50.0
268,2UF35848253536610,cpc,50.0
269,2UV31083XT7830945,cpc,50.0
270,2VA84636XH391015S,cpc,50.0
271,2VH56646C8378792M,cpc,50.0
272,2VP37228CT759601C,cpc,50.0
273,2VT20734G59230031,cpc,50.0
274,2VT80184XW806261B,cpc,50.0
275,2W289088UH3481629,cpc,50.0
276,2W790391N1462703F,cpc,50.0
277,2XB02859KE0151937,cpc,50.0
278,2XT70464F6741191E,cpc,50.0
279,2XY812335D057004U,cpc,50.0
280,301601277T3094307,cpc,50.0
281,30694534UU423150D,cpc,50.0
282,30G83994KC439264P,cpc,50.0
283,32Y31816U8146560U,cpc,50.0
284,33S16543AF102503S,cpc,50.0
285,34591402VK036891K,cpc,50.0
286,34K620888T6401628,cpc,50.0
287,34Y24202UL5686309,cpc,50.0
288,37444966K3717060S,cpc,50.0
289,37616704E2967231C,cpc,50.0
290,37678326HL4538505,cpc,50.0
291,37A322927V746703A,cpc,50.0
292,38Y08651FR9321543,cpc,50.0
293,39387009D0976015V,cpc,50.0
294,39B24141JP6275427,cpc,50.0
295,39F23587B7623241D,cpc,50.0
296,3AB868602S106403G,cpc,50.0
297,3AK473860E186750C,cpc,50.0
298,3AM89585TF7011329,cpc,50.0
299,3AY95758J2736352B,cpc,50.0
300,3BD59288HK0457414,cpc,50.0
301,3CP381236F3492050,cpc,50.0
302,3D418792FJ4311100,cpc,50.0
303,3DH92946H7507552S,cpc,50.0
304,3EB491750F278780S,cpc,50.0
305,3EN23759HV7434800,cpc,50.0
306,3EU598576Y839063D,cpc,50.0
307,3EX64373XE681403L,cpc,50.0
308,3GW33151WB496442U,cpc,50.0
309,3H589160JM325464E,cpc,50.0
310,3K121718RD075540N,cpc,50.0
311,3KB42725R5153715S,cpc,50.0
312,3KG39041MJ516200W,cpc,50.0
313,3KT62342YH579860A,cpc,50.0
314,3M22674647824251L,cpc,50.0
315,3M996257LG0929052,cpc,50.0
316,3N806353X1876060E,cpc,50.0
317,3NM96630AN272535C,cpc,50.0
318,3NP77058TY362750G,cpc,50.0
319,3PC53081W1920463X,cpc,50.0
320,3PG33696AW6564623,cpc,50.0
321,3PK67735FY179892L,cpc,50.0
322,3R3521037E705863X,cpc,50.0
323,3RM045705M231524C,cpc,50.0
324,3RX09802723847320,cpc,50.0
325,3SR30443YT919791D,cpc,50.0
326,3TG77179RJ5053008,cpc,50.0
327,3TY1568457929330E,cpc,50.0
328,3TY265082E8619939,cpc,50.0
329,3UA846278U9123225,cpc,50.0
330,3UC50597WD5826646,cpc,50.0
331,3UD53746GY422652T,cpc,50.0
332,3UV10757A4853390M,cpc,50.0
333,3V6553249U155145G,cpc,50.0
334,3VU5990864310302W,cpc,50.0
335,3VW59517KB909384N,cpc,50.0
336,3XG00373XX619232M,cpc,50.0
337,3XU49177DT393330R,cpc,50.0
338,3XV68444R2584025B,cpc,50.0
339,3Y7753947P401183X,cpc,50.0
340,3YB476471G640624P,cpc,50.0
341,40J15897PT220210X,cpc,50.0
342,40L65193A09281833,cpc,50.0
343,419037592B4696508,cpc,50.0
344,41A3740683328833F,cpc,50.0
345,42283963LT622091W,cpc,50.0
346,42G839645A477853M,cpc,50.0
347,43435740LT9360919,cpc,50.0
348,44U22000BM438481U,cpc,50.0
349,44U412657Y2241933,cpc,50.0
350,45M400368M642551K,cpc,50.0
351,45W30570K1007354A,cpc,50.0
352,46T251153E7438029,cpc,50.0
353,47W91316TX6828001,cpc,50.0
354,48X548093N5449845,cpc,50.0
355,49D86480PV949531M,cpc,50.0
356,4AL22994V70070735,cpc,50.0
357,4AM38112BD103963P,cpc,50.0
358,4CL23767D21486522,cpc,50.0
359,4D858709MB888852M,cpc,50.0
360,4DK47508J07985256,cpc,50.0
361,4FN895399Y450381T,cpc,50.0
362,4FT23550AV926470L,cpc,50.0
363,4FX26743W3209592X,cpc,50.0
364,4G141591UR8340113,cpc,50.0
365,4JL71973EF1854712,cpc,50.0
366,4JP50574U9636522B,cpc,50.0
367,4KK880331N844115L,cpc,50.0
368,4KM57822288808116,cpc,50.0
369,4KP35652HX202381R,cpc,50.0
370,4LU80499YD527070F,cpc,50.0
371,4MJ51015HU1094308,cpc,50.0
372,4MS22799J2338601U,cpc,50.0
373,4NG26214UV1879025,cpc,50.0
374,4NH01186H26226607,cpc,50.0
375,4NK1045956064833A,cpc,50.0
376,4NU62344HV830753R,cpc,50.0
377,4RU139742M877410M,cpc,50.0
378,4SE359833P1813847,cpc,50.0
379,4T362152UA056654L,cpc,50.0
380,4T790870UN657502L,cpc,50.0
381,4TM14991SD770784A,cpc,50.0
382,4U3603812U7219339,cpc,50.0
383,4VM28278PG5019054,cpc,50.0
384,4VM864013L211424V,cpc,50.0
385,4VP22409DN862951G,cpc,50.0
386,4X564977178516627,cpc,50.0
387,4Y120222F7224354F,cpc,50.0
388,4YG524987P635503T,cpc,50.0
389,4YH756587C391890P,cpc,50.0
390,4YT3890109595121M,cpc,50.0
391,50378166T8460662W,cpc,50.0
392,50B19058PF9349443,cpc,50.0
393,51L51784J3382672L,cpc,50.0
394,52D317989A2169143,cpc,50.0
395,52R74445JJ059840G,cpc,50.0
396,533427513V1292600,cpc,50.0
397,53B43214PK5326217,cpc,50.0
398,54996737HW020064D,cpc,50.0
399,55V38680YF2341149,cpc,50.0
400,57A74019059183329,cpc,50.0
401,57L230543J166660R,cpc,50.0
402,58409804313748103,cpc,50.0
403,58F02382KU402893M,cpc,50.0
404,59840924AR906804H,cpc,50.0
405,599291386H757233V,cpc,50.0
406,59G49866LF479794C,cpc,50.0
407,59P92628JY768234M,cpc,50.0
408,5A072677PJ075851F,cpc,50.0
409,5A670187LE4260221,cpc,50.0
410,5AH47842ER083083K,cpc,50.0
411,5BV52535G0102545P,cpc,50.0
412,5BY21508KL144301P,cpc,50.0
413,5CK80598AM4635136,cpc,50.0
414,5CM88327PA231950V,cpc,50.0
415,5E587428B8606434Y,cpc,50.0
416,5EW794208V681954H,cpc,50.0
417,5FK981267P8254240,cpc,50.0
418,5FU512007D1180806,cpc,50.0
419,5G0966336B555142G,cpc,50.0
420,5G1702637S245013B,cpc,50.0
421,5G915850YW435461X,cpc,50.0
422,5H801205V0069473S,cpc,50.0
423,5J409696NT557872Y,cpc,50.0
424,5JD26805Y6228710U,cpc,50.0
425,5JU19315594774011,cpc,50.0
426,5K1953089D780721D,cpc,50.0
427,5K810200U6222712G,cpc,50.0
428,5KB63458E9776033R,cpc,50.0
429,5L511525B5673524J,cpc,50.0
430,5LR192117X018983N,cpc,50.0
431,5LT22077V3920014W,cpc,50.0
432,5LV4285958525461V,cpc,50.0
433,5M210148YK067725R,cpc,50.0
434,5MJ04265C5931963M,cpc,50.0
435,5MP614755V548630D,cpc,50.0
436,5N432854FR841244U,cpc,50.0
437,5N468396JW417734H,cpc,50.0
438,5N5914509L5781923,cpc,50.0
439,5NY06552BN160803F,cpc,50.0
440,5R072674K62221322,cpc,50.0
441,5RP00924DM8362049,cpc,50.0
442,5SA84535HT621943H,cpc,50.0
443,5T909502WV3501844,cpc,50.0
444,5TJ246048T1848147,cpc,50.0
445,5TU572076G401563D,cpc,50.0
446,5UP01755JX388822H,cpc,50.0
447,5UP06853EU696191T,cpc,50.0
448,5UW03385127028040,cpc,50.0
449,5VN806480E8509815,cpc,50.0
450,5W590322R69378203,cpc,50.0
451,5XD03389NK7622512,cpc,50.0
452,5Y67173983467644Y,cpc,50.0
453,60H120085R8629548,cpc,50.0
454,60Y45428JW292254M,cpc,50.0
455,61R41541BS319092F,cpc,50.0
456,62C256760Y136722V,cpc,50.0
457,62Y06030JA6200928,cpc,50.0
458,6357030339020181B,cpc,50.0
459,64E50818B0812633L,cpc,50.0
460,64L76197GN510100S,cpc,50.0
461,64W88200E29332352,cpc,50.0
462,66769803CV7239527,cpc,50.0
463,66S28390WG180390L,cpc,50.0
464,66Y00214XE5503522,cpc,50.0
465,68A9826182154105S,cpc,50.0
466,68S885051T3461624,cpc,50.0
467,69Y67477TD711921F,cpc,50.0
468,6A516711TC7975324,cpc,50.0
469,6AE69694WV800560R,cpc,50.0
470,6AF2178476535914K,cpc,50.0
471,6AF919388D3053411,cpc,50.0
472,6AP54153GG2779624,cpc,50.0
473,6AT57459045025531,cpc,50.0
474,6AW17701TR239001D,cpc,50.0
475,6B0888025K423393M,cpc,50.0
476,6CD96053BL6350424,cpc,50.0
477,6D33960427088014M,cpc,50.0
478,6DW33933AH8066223,cpc,50.0
479,6E319245U8812551R,cpc,50.0
480,6GG570819D616113Y,cpc,50.0
481,6HM6348748027164T,cpc,50.0
482,6JP8405355509464Y,cpc,50.0
483,6K243035KG331111U,cpc,50.0
484,6K767885KL579783L,cpc,50.0
485,6K969528AA584115D,cpc,50.0
486,6KD427301L040841M,cpc,50.0
487,6KM07207AL5924452,cpc,50.0
488,6KM74374DX4830306,cpc,50.0
489,6L916021PG567551D,cpc,50.0
490,6MA73622YW126273V,cpc,50.0
491,6MR00524SG8588423,cpc,50.0
492,6NE18421PG2144737,cpc,50.0
493,6NM80244HA1203110,cpc,50.0
494,6NP36870AA994305S,cpc,50.0
495,6PK76652WV7534452,cpc,50.0
496,6PL330401X5987334,cpc,50.0
497,6PN58152S1002431F,cpc,50.0
498,6RA11399UT441853N,cpc,50.0
499,6RL63387CY005730S,cpc,50.0
500,6RS53413TV750602E,cpc,50.0
501,6S841909TY084663F,cpc,50.0
502,6SG814935X538045G,cpc,50.0
503,6SJ62014C1432922G,cpc,50.0
504,6TD55551K37251739,cpc,50.0
505,6TV31081A3301811T,cpc,50.0
506,6U5687711N477233C,cpc,50.0
507,6U9226118D8963233,cpc,50.0
508,6VX09202LE836941B,cpc,50.0
509,6VY19643CE085231M,cpc,50.0
510,6WK06926TB980393E,cpc,50.0
511,6WN88073958341523,cpc,50.0
512,6WU68000N9559171B,cpc,50.0
513,6XS278198F340864Y,cpc,50.0
514,6YG05351V15920935,cpc,50.0
515,6YX005222P464110G,cpc,50.0
516,70F73934UU479533W,cpc,50.0
517,70S82210BL9832911,cpc,50.0
518,70Y77106AW0060047,cpc,50.0
519,72573041DX3732257,cpc,50.0
520,73170976B69705827,cpc,50.0
521,735184409W989102A,cpc,50.0
522,73E659989F9368545,cpc,50.0
523,74D24676YM519992N,cpc,50.0
524,74N25781LM2455242,cpc,50.0
525,755237784C598203C,cpc,50.0
526,75S92062K3694643U,cpc,50.0
527,76N19078HM261244K,cpc,50.0
528,76N754590D6971734,cpc,50.0
529,77H29975G8289011R,cpc,50.0
530,77M61652EJ8318902,cpc,50.0
531,77S8256162594023D,cpc,50.0
532,78791595G5274350K,cpc,50.0
533,78P40500R07725546,cpc,50.0
534,79G34638EF462062E,cpc,50.0
535,79V999970C5203041,cpc,50.0
536,7AJ292634C9080434,cpc,50.0
537,7AN705200P428371K,cpc,50.0
538,7B628666W7142851B,cpc,50.0
539,7CE1796543341804J,cpc,50.0
540,7DC89391U40314638,cpc,50.0
541,7DD35094AV377470Y,cpc,50.0
542,7F544826PL789834U,cpc,50.0
543,7G267979LJ7636332,cpc,50.0
544,7H6680471J907002R,cpc,50.0
545,7J7258174F9333130,cpc,50.0
546,7JX98617L32685615,cpc,50.0
547,7K562349V36494204,cpc,50.0
548,7K7509864C765384C,cpc,50.0
549,7K754497074371531,cpc,50.0
550,7LA78398WB4902704,cpc,50.0
551,7LK58845311257425,cpc,50.0
552,7NS91860C4569423U,cpc,50.0
553,7NX70300TN470213R,cpc,50.0
554,7PG475156G975060N,cpc,50.0
555,7PN346070W964204C,cpc,50.0
556,7R36479912424721B,cpc,50.0
557,7R7140318L2062920,cpc,50.0
558,7S140256FW985425P,cpc,50.0
559,7SB069291N637823C,cpc,50.0
560,7TA50059C74712203,cpc,50.0
561,7VR758948D088542J,cpc,50.0
562,7VY01219G5944861P,cpc,50.0
563,7WB677529U250660G,cpc,50.0
564,7WW01446W96637327,cpc,50.0
565,7XE506512F7905911,cpc,50.0
566,7XM58935U92782924,cpc,50.0
567,7XU10976UC233454Y,cpc,50.0
568,7Y184675A4602553P,cpc,50.0
569,7YA17303FL809512C,cpc,50.0
570,7YK84952FH739002S,cpc,50.0
571,7YP17147B7532341W,cpc,50.0
572,805950562F4933358,cpc,50.0
573,80K62198DW886340X,cpc,50.0
574,82G76988EG668083S,cpc,50.0
575,82X19488V3708102W,cpc,50.0
576,83015785DM609744F,cpc,50.0
577,83U85372AC193325D,cpc,50.0
578,849377028G020162S,cpc,50.0
579,84H28817GM462890G,cpc,50.0
580,87385685N78344417,cpc,50.0
581,88N70454X5351381J,cpc,50.0
582,88N765467T8388150,cpc,50.0
583,8AK48879XP430545W,cpc,50.0
584,8AP09151HU796335G,cpc,50.0
585,8B310557WX370520B,cpc,50.0
586,8C57149757641332K,cpc,50.0
587,8C664501VE9902346,cpc,50.0
588,8CE771705Y796912J,cpc,50.0
589,8CP79009L32742304,cpc,50.0
590,8CV48362GS207480Y,cpc,50.0
591,8CY56938CB685540C,cpc,50.0
592,8D3344187U4368947,cpc,50.0
593,8DC11943R85562115,cpc,50.0
